[0. 0.]
[0. 1.]
[0.23135495 0.28043117]
[0.1447361  0.16648236]
[0.66946697 0.71638789]
[0.38111227 0.33709797]
[0.95676495 0.30479314]
[0.4775529  0.88126594]
[0.25626362 0.42803104]
[0.95479655 0.50485399]
[0.92003502 0.45424583]
[0.14039998 0.39097431]
[0.29565943 0.41501021]
[0.75752595 0.69837053]
[0.6952936  0.21448937]
[0.20111327 0.57553897]
[0.08249218 0.89608973]
[0.70924806 0.5195141 ]
[0.84206717 0.71891693]
[0.9865474  0.96100114]
[0.55456377 0.74201368]
[0.09650361 0.77989285]
[0.95359867 0.32992534]
[0.33813704 0.75771671]
[0.43593501 0.12771872]
[0.51121135 0.00742751]
[0.86122528 0.05690113]
[0.396951   0.63437456]
[0.81625268 0.75329602]
[0.19073275 0.88875523]
[0.24650274 0.61246453]
[0.40849349 0.0680645 ]
[0.81351539 0.59921518]
[0.59694896 0.7611495 ]
[0.26817207 0.79088552]
[0.41546159 0.18481279]
[0.09389526 0.28088638]
[0.68267091 0.09497007]
[0.73263503 0.47379406]
[0.56666875 0.46601693]
[0.98467866 0.906165  ]
[0.34153867 0.36818526]
[0.92719904 0.35284796]
[0.46790459 0.02549419]
[0.47616997 0.99641513]
[0.5665135  0.98655849]
[0.21834167 0.42716515]
[0.62258534 0.85014905]
[0.8856953  0.57515771]
[0.88551432 0.54762266]
[0.44468229 0.07577553]
[0.82334572 0.40297504]
[0.21442288 0.31539208]
[0.20620211 0.02618862]
[0.02576095 0.54866403]
[0.4111384  0.44186983]
[0.14253744 0.51816797]
[0.51545551 0.24273687]
[0.46946808 0.01297717]
[0.22610403 0.22160011]
[0.87703981 0.69414515]
[0.1676749  0.64492322]
[0.18981572 0.68704966]
[0.71981933 0.96322751]
[0.91723453 0.73189972]
[0.94493682 0.37036778]
[0.71388907 0.1415741 ]
[0.01293393 0.83058448]
[0.02553821 0.27960622]
[0.85281316 0.96119815]
[0.62880792 0.47056051]
[0.54255596 0.69406549]
[0.35961652 0.78635383]
[0.181123   0.99408245]
[0.02524109 0.86029656]
[0.97849309 0.96587753]
[0.81184217 0.79847579]
[0.29325205 0.06913499]
[0.11607178 0.12965815]
[0.33603031 0.39836402]
[0.90389691 0.1500319 ]
[0.43855578 0.49146323]
[0.60061443 0.5448671 ]
[0.87228421 0.52097258]
[0.07371339 0.17952512]
[0.18284707 0.86695119]
[0.43353157 0.69198215]
[0.08649868 0.68537167]
[0.66576779 0.69172628]
[0.91848786 0.49139523]
[0.51922101 0.74625815]
[0.46381338 0.46049678]
[0.23746602 0.55121937]
[0.16946621 0.70590983]
[0.42264405 0.48467485]
[0.24644162 0.591069  ]
[0.31725229 0.2405809 ]
[0.95212075 0.69028202]
[0.54727948 0.6581659 ]
[0.6528691  0.98580219]
[0.63338633 0.63577557]
[0.63403296 0.88187692]
[0.82178195 0.53753132]
[0.70510023 0.46395907]
[0.98530702 0.29251513]
[0.35230338 0.98807794]
[0.91352872 0.69056396]
[0.8202971  0.64588324]
[0.10199317 0.59593741]
[0.88962625 0.34548044]
[0.78336011 0.40066396]
[0.65997111 0.73939983]
[0.41851211 0.2665519 ]
[0.43830065 0.2701839 ]
[0.31161819 0.47262414]
[0.75783697 0.00564959]
[0.41878461 0.45004604]
[0.28817687 0.20859205]
[0.72399614 0.34460911]
[0.42247409 0.02039606]
[0.81200535 0.88332677]
[0.95639039 0.18523601]
[0.58423985 0.93972386]
[0.0693503  0.40472414]
[0.81063964 0.18627461]
[0.31109259 0.95463328]
[0.38020566 0.6800726 ]
[0.97948955 0.49198238]
[0.85324876 0.65264134]
[0.94334231 0.87105145]
[0.00143649 0.21214105]
[0.52970045 0.66030406]
[0.10223566 0.11163755]
[0.74986604 0.92966368]
[0.6199995  0.32804527]
[0.93153671 0.96024561]
[0.40241789 0.73917189]
[0.70051974 0.96903183]
[0.0680122  0.09796099]
[0.3684899  0.91743634]
[0.25785613 0.73517601]
[0.2341294  0.17071265]
[0.01740897 0.91498218]
[0.44064671 0.8603674 ]
[0.47587346 0.36414673]
[0.32225439 0.62234498]
[0.68076033 0.13087508]
[0.23221221 0.6999972 ]
[0.15878227 0.47001884]
[0.77809487 0.62547298]
[0.68771307 0.24361125]
[0.11468622 0.30256434]
[0.32252494 0.78343436]
[0.17085052 0.51071252]
[0.0870913  0.98046716]
[0.23784807 0.38276274]
